"NCT","final_decision"
"NCT04603404","Include"
"NCT04607083","Include"
"NCT04609163","Include"
"NCT04621539","Include"
"NCT04624737","Include"
"NCT04624971","Include"
"NCT04640350","Include"
"NCT04666662","Include"
"NCT04681014","Include"
"NCT04682756","Include"
"NCT04682886","Include"
"NCT04688606","Include"
"NCT04707859","Include"
"NCT04746001","Include"
"NCT04756362","Include"
"NCT04759209","Include"
"NCT04777019","Include"
"NCT04787705","Include"
"NCT04792450","Include"
"NCT04795388","Include"
"NCT04805541","Include"
"NCT04811755","Include"
"NCT04824378","Include"
"NCT04858893","Include"
"NCT04883879","Include"
"NCT04890730","Include"
"NCT04901468","Include"
"NCT04925102","Include"
"NCT04930926","Include"
"NCT04933890","Include"
"NCT04967352","Include"
"NCT04985981","Include"
"NCT04989179","Include"
"NCT04995224","Include"
"NCT05001321","Include"
"NCT05008692","Include"
"NCT05010330","Include"
"NCT05018104","Include"
"NCT05018663","Include"
"NCT05019911","Include"
"NCT05023564","Include"
"NCT05046366","Include"
"NCT05046704","Include"
"NCT05058300","Include"
"NCT05079724","Include"
"NCT05090306","Include"
"NCT05096533","Include"
"NCT05097235","Include"
"NCT05098808","Include"
"NCT05099627","Include"
"NCT05104619","Include"
"NCT05112770","Include"
"NCT05150548","Include"
"NCT05153876","Include"
"NCT05161130","Include"
"NCT05163275","Include"
"NCT05170282","Include"
"NCT05174208","Include"
"NCT05176899","Include"
"NCT05182983","Include"
"NCT05189418","Include"
"NCT05195853","Include"
"NCT05204238","Include"
"NCT05206032","Include"
"NCT05236855","Include"
"NCT05240742","Include"
"NCT00005421","Include"
"NCT00368420","Include"
"NCT00435097","Include"
"NCT00654823","Include"
"NCT01161381","Include"
"NCT01325883","Include"
"NCT01336426","Include"
"NCT01344837","Include"
"NCT01698632","Include"
"NCT01810341","Include"
"NCT01891240","Include"
"NCT01894529","Include"
"NCT01970969","Include"
"NCT02004080","Include"
"NCT02009150","Include"
"NCT02042209","Include"
"NCT02341066","Include"
"NCT02406430","Include"
"NCT02443389","Include"
"NCT02444676","Include"
"NCT02476695","Include"
"NCT02522702","Include"
"NCT02573532","Include"
"NCT02611570","Include"
"NCT02803086","Include"
"NCT02833259","Include"
"NCT02876406","Include"
"NCT02898415","Include"
"NCT02919280","Include"
"NCT02991105","Include"
"NCT03150680","Include"
"NCT03159208","Include"
"NCT03227211","Include"
"NCT03261089","Include"
"NCT03300791","Include"
"NCT03348774","Include"
"NCT04088747","Include"
"NCT04099147","Include"
"NCT04109001","Include"
"NCT04116983","Include"
"NCT04160988","Include"
"NCT04167891","Include"
"NCT04174547","Include"
"NCT04186975","Include"
"NCT04212910","Include"
"NCT04214613","Include"
"NCT04215224","Include"
"NCT04230785","Include"
"NCT04251546","Include"
"NCT04270032","Include"
"NCT04275947","Include"
"NCT04285112","Include"
"NCT04300257","Include"
"NCT04304742","Include"
"NCT04307030","Include"
"NCT04321005","Include"
"NCT04331015","Include"
"NCT04342923","Include"
"NCT04370249","Include"
"NCT04384575","Include"
"NCT04401228","Include"
"NCT04448340","Include"
"NCT04451577","Include"
"NCT04454099","Include"
"NCT04462380","Include"
"NCT04463706","Include"
"NCT04478929","Include"
"NCT04479319","Include"
"NCT04503226","Include"
"NCT04504890","Include"
"NCT04527510","Include"
"NCT04528342","Include"
"NCT04544657","Include"
"NCT04568720","Include"
"NCT04583072","Include"
"NCT04594655","Include"
"NCT04596982","Include"
"NCT04605822","Include"
"NCT04628962","Include"
"NCT04631640","Include"
"NCT04637230","Include"
"NCT04687969","Include"
"NCT04719117","Include"
"NCT04737148","Include"
"NCT04751838","Include"
"NCT04765943","Include"
"NCT04786197","Include"
"NCT04819074","Include"
"NCT04824677","Include"
"NCT04844593","Include"
"NCT04873674","Include"
"NCT04873986","Include"
"NCT04881383","Include"
"NCT04886128","Include"
"NCT04889729","Include"
"NCT04904289","Include"
"NCT04909957","Include"
"NCT04912882","Include"
"NCT04913181","Include"
"NCT04937647","Include"
"NCT04951570","Include"
"NCT04955210","Include"
"NCT04985253","Include"
"NCT04990076","Include"
"NCT04996615","Include"
"NCT05005481","Include"
"NCT05018715","Include"
"NCT05020106","Include"
"NCT05021055","Include"
"NCT05034185","Include"
"NCT05048095","Include"
"NCT05068154","Include"
"NCT05078697","Include"
"NCT05081115","Include"
"NCT05124587","Include"
"NCT05132465","Include"
"NCT05135377","Include"
"NCT05137301","Include"
"NCT05139940","Include"
"NCT05167461","Include"
"NCT05168722","Include"
"NCT05176704","Include"
"NCT05181332","Include"
"NCT05185713","Include"
"NCT05218837","Include"
"NCT05228197","Include"
"NCT05250557","Include"
"NCT05260281","Include"
"NCT00092235","Include"
"NCT00160940","Include"
"NCT00224172","Include"
"NCT00481234","Include"
"NCT00590616","Include"
"NCT00604773","Include"
"NCT00809575","Include"
"NCT00821379","Include"
"NCT00947804","Include"
"NCT00961389","Include"
"NCT01066286","Include"
"NCT01079507","Include"
"NCT01079728","Include"
"NCT01130402","Include"
"NCT01144481","Include"
"NCT01166360","Include"
"NCT01194024","Include"
"NCT01353547","Include"
"NCT01363856","Include"
"NCT01398631","Include"
"NCT01435421","Include"
"NCT01452802","Include"
"NCT01582763","Include"
"NCT01641562","Include"
"NCT01644786","Include"
"NCT01709448","Include"
"NCT01799421","Include"
"NCT01802398","Include"
"NCT01838148","Include"
"NCT01840306","Include"
"NCT01902407","Include"
"NCT01915615","Include"
"NCT01935232","Include"
"NCT01962506","Include"
"NCT01985984","Include"
"NCT01987921","Include"
"NCT01988285","Include"
"NCT02009683","Include"
"NCT02022878","Include"
"NCT02050464","Include"
"NCT02070536","Include"
"NCT02103010","Include"
"NCT02172365","Include"
"NCT02189096","Include"
"NCT02189486","Include"
"NCT02248363","Include"
"NCT02304341","Include"
"NCT02329795","Include"
"NCT02332070","Include"
"NCT02386813","Include"
"NCT02481089","Include"
"NCT02488161","Include"
"NCT02556216","Include"
"NCT02569268","Include"
"NCT02578355","Include"
"NCT02580435","Include"
"NCT02592135","Include"
"NCT02618538","Include"
"NCT02646943","Include"
"NCT02694159","Include"
"NCT02705794","Include"
"NCT02723526","Include"
"NCT02753257","Include"
"NCT02754388","Include"
"NCT02789046","Include"
"NCT02805621","Include"
"NCT02832102","Include"
"NCT02847832","Include"
"NCT02863211","Include"
"NCT02894164","Include"
"NCT02911012","Include"
"NCT02929641","Include"
"NCT02955485","Include"
"NCT02992587","Include"
"NCT03004950","Include"
"NCT03005600","Include"
"NCT03016936","Include"
"NCT03045809","Include"
"NCT03054142","Include"
"NCT03067389","Include"
"NCT03080623","Include"
"NCT03081988","Include"
"NCT03090815","Include"
"NCT03121768","Include"
"NCT03188484","Include"
"NCT03193515","Include"
"NCT03199599","Include"
"NCT03224650","Include"
"NCT03247049","Include"
"NCT03253432","Include"
"NCT03266458","Include"
"NCT03268031","Include"
"NCT03299010","Include"
"NCT03360838","Include"
"NCT03362138","Include"
"NCT03398551","Include"
"NCT03398629","Include"
"NCT03439449","Include"
"NCT03450525","Include"
"NCT03451357","Include"
"NCT03458806","Include"
"NCT03462992","Include"
"NCT03476291","Include"
"NCT03479424","Include"
"NCT03485079","Include"
"NCT03487952","Include"
"NCT03496831","Include"
"NCT03511430","Include"
"NCT03512704","Include"
"NCT03544801","Include"
"NCT03550625","Include"
"NCT03553069","Include"
"NCT03559582","Include"
"NCT03563976","Include"
"NCT03570086","Include"
"NCT03572426","Include"
"NCT03577405","Include"
"NCT03602989","Include"
"NCT03604731","Include"
"NCT03608709","Include"
"NCT03612141","Include"
"NCT03619733","Include"
"NCT03623945","Include"
