,sample_id,posneg,testcontrol,NCT_num,PMID,F03_pmid_aggmax,F01_authors_authtree,F16_titleabs_propoccurance,F13_titleabs_tsimunw_tms,F13_titleabs_tsimunw_scr,F13_titleabs_tsimw_tms,F13_titleabs_tsimw_scr,F24_mesh_meshsim,F31_authors_authtree,F30_abstract_occurance,FTA_ta_allcaps_mismatch,F25_mesh_meshsim,F33_grants_occurance,F29_grants_occurance,F15_titleabs_propoccurance,F02_titleabs_allcaps,F13_chemicals_reverseoccur,F27_abstract_occurance,F30_cn_occurance,F09_titleabs_occurance,F10_titleabs_occurance,F36_authors_authtree,startdate_lift,start_diff_lt5,start_diff_cast,authcomp,agginvint,prob,Trial Results,NCT Link,rank,keep
NCT03745053:9822086,0,0,0,NCT03745053,9822086,0.34012864056971215,0.0,-0.5,198,3435.88015,353,6230.61208,0.285332373297017,,-0.5,0,0.0,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.34012864056971215,0.07854682873051967,no,no,965,0
NCT03745053:26329585,0,0,0,NCT03745053,26329585,0.09689158751116735,0.0,-0.5,231,3903.48674,411,7025.47022,0.285332373297017,,-0.5,0,1.0909090909090908,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0784663598435239,no,no,966,0
NCT03745053:19033621,0,0,0,NCT03745053,19033621,0.14455864030802415,0.0,-0.5,230,3863.41518,407,6936.45329,0.285332373297017,,-0.5,1,0.506728134364736,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07838710093031462,no,no,967,0
NCT03745053:23965355,0,0,0,NCT03745053,23965355,0.09689158751116735,0.0,-0.5,226,3844.97784,393,6844.24151,0.285332373297017,,-0.5,0,1.1428571428571428,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07834525233441053,no,no,968,0
NCT03745053:19695540,0,0,0,NCT03745053,19695540,0.09689158751116735,0.0,-0.5,211,2844.38909,372,5143.59363,0.285332373297017,,0.0,1,1.0769230769230769,0,0.0,-0.5,0,0.0,0.0,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0782737059290666,no,no,969,0
NCT03745053:24281230,0,0,0,NCT03745053,24281230,0.14455864030802415,0.0,-0.5,154,2845.85969,290,5397.58489,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07821611978793819,no,no,970,0
NCT03745053:31310239,0,0,0,NCT03745053,31310239,0.09689158751116735,0.0,-0.5,193,3479.97663,335,6176.55135000001,0.285332373297017,,-0.5,1,1.1111111111111112,0,0.0,0.5,0,0.3333333333333333,-0.5,0.0,-0.5,-0.5,,0.0791550925925926,1,0,0.0,0.236849605005533,0.07815671250595194,no,no,971,0
NCT03745053:20842483,0,0,0,NCT03745053,20842483,0.14455864030802415,0.0,-0.5,111,1993.39282,200,3682.02146,0.285332373297017,,-0.5,0,0.506728134364736,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07793042465084948,no,no,972,0
NCT03745053:26334160,0,0,0,NCT03745053,26334160,0.09689158751116735,0.0,-0.5,192,3472.08832,342,6270.26766,0.285332373297017,,-0.5,1,0.0,0,0.0,-0.5,0,0.3333333333333333,-0.5,0.0,0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07791340143696293,no,no,973,0
NCT03745053:20613498,0,0,0,NCT03745053,20613498,0.09689158751116735,0.0,-0.5,237,3944.0512,419,7073.77646,0.285332373297017,,-0.5,0,1.0666666666666667,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07790325200020701,no,no,974,0
